net,length_um
clknet_leaf_84_clk,112.8µm
clknet_leaf_30_clk,112.74µm
u_aes128_optimized.u_aes_core.shift_rows_out\[34\],112.7µm
net357,112.51µm
_2021_,112.46µm
net238,112.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[53\],112.28µm
_1538_,111.66µm
clknet_leaf_3_clk,111.64µm
net175,111.5µm
net264,111.44µm
net628,111.395µm
_2543_,111.39µm
net242,111.27µm
net545,111.16µm
net788,111.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[8\],110.98µm
_2756_,110.82µm
_2133_,110.78µm
net381,110.77µm
clknet_leaf_49_clk,110.65µm
net558,110.56µm
net203,110.5µm
_2192_,110.22µm
_2125_,110.08µm
_2977_,110.015µm
u_aes128_optimized.u_aes_core.shift_rows_out\[113\],109.94µm
u_aes128_optimized.u_aes_core.shift_rows_out\[2\],109.68µm
clknet_leaf_45_clk,109.48µm
clknet_leaf_50_clk,109.42µm
net243,109.41µm
_1244_,109.37µm
clknet_leaf_35_clk,109.34µm
_1759_,108.94µm
u_aes128_optimized.u_aes_core.round_key_reg\[29\],108.85µm
net257,108.75µm
clknet_leaf_5_clk,108.67µm
u_aes128_optimized.u_aes_core.shift_rows_out\[10\],108.49µm
net444,108.32µm
clknet_leaf_58_clk,108.2µm
net682,107.94µm
_1544_,107.92µm
clknet_leaf_21_clk,107.74µm
net461,107.685µm
net823,107.61µm
u_aes128_optimized.u_aes_core.shift_rows_out\[118\],107.24µm
u_aes128_optimized.u_aes_core.shift_rows_out\[6\],106.985µm
_1698_,106.71µm
_2042_,106.52µm
net143,106.52µm
u_aes128_optimized.u_aes_core.shift_rows_out\[108\],106.32µm
net148,106.27µm
_1597_,106.18µm
net189,106.1µm
clknet_leaf_4_clk,105.98µm
clknet_leaf_32_clk,105.68µm
u_aes128_optimized.u_aes_core.shift_rows_out\[17\],105.66µm
clknet_leaf_1_clk,105.64µm
u_aes128_optimized.u_aes_core.shift_rows_out\[61\],105.53µm
_1554_,105.52µm
net207,105.46µm
net178,105.26µm
_2288_,105.23µm
clknet_leaf_71_clk,105.1µm
u_aes128_optimized.u_aes_core.shift_rows_out\[127\],105µm
_1547_,104.98µm
net120,104.895µm
net158,104.8µm
net220,104.77µm
_1137_,104.605µm
_1072_,104.52µm
_2003_,104.52µm
clknet_leaf_48_clk,104.44µm
u_aes128_optimized.u_aes_core.shift_rows_out\[116\],104.36µm
net255,104.36µm
_1069_,104.32µm
_1308_,104.31µm
net485,104.265µm
_1532_,104.23µm
net486,104.23µm
_1604_,104.15µm
net679,104.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[95\],103.68µm
net816,103.67µm
net152,103.61µm
net124,103.6µm
net458,103.595µm
u_aes128_optimized.u_aes_core.round_key_reg\[12\],103.53µm
_1487_,103.44µm
_1122_,103.42µm
clknet_leaf_7_clk,103.4µm
_1108_,103.26µm
net784,103.19µm
net596,103.12µm
_1986_,103.06µm
net106,102.78µm
net74,102.54µm
net67,102.495µm
_1931_,102.22µm
clknet_leaf_63_clk,101.67µm
clknet_leaf_16_clk,101.245µm
net261,100.92µm
u_aes128_optimized.u_aes_core.round_key_reg\[9\],100.61µm
_2205_,100.35µm
