net,length_um
u_aes128_optimized.u_aes_core.round_key_reg\[20\],93.11µm
u_aes128_optimized.u_aes_core.shift_rows_out\[62\],93.08µm
_2242_,93.04µm
_1595_,93.03µm
clknet_leaf_62_clk,92.92µm
clknet_leaf_51_clk,92.9µm
u_aes128_optimized.u_aes_core.shift_rows_out\[92\],92.88µm
net219,92.84µm
u_aes128_optimized.u_aes_core.shift_rows_out\[80\],92.82µm
net752,92.59µm
_2158_,92.54µm
u_aes128_optimized.u_aes_core.round_key_reg\[3\],92.51µm
u_aes128_optimized.u_aes_core.shift_rows_out\[115\],92.4µm
clknet_leaf_65_clk,92.32µm
u_aes128_optimized.u_aes_core.shift_rows_out\[54\],92.265µm
net380,92.255µm
net220,92.12µm
net334,92.08µm
net532,92.02µm
net845,91.85µm
net368,91.79µm
u_aes128_optimized.u_aes_core.round_key_reg\[18\],91.63µm
net721,91.35µm
_1494_,91.2µm
net745,91.06µm
_1183_,91.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[41\],90.94µm
_1379_,90.85µm
net653,90.75µm
_1151_,90.62µm
net742,90.55µm
_1165_,90.53µm
u_aes128_optimized.u_aes_core.shift_rows_out\[40\],90.11µm
_1398_,90.1µm
u_aes128_optimized.u_aes_core.round_key_reg\[99\],90.04µm
net734,89.33µm
net306,89.325µm
_1583_,89.21µm
u_aes128_optimized.u_aes_core.shift_rows_out\[0\],89.2µm
clknet_leaf_82_clk,89.02µm
_1199_,88.94µm
u_aes128_optimized.u_aes_core.round_key_reg\[24\],88.92µm
u_aes128_optimized.u_aes_core.shift_rows_out\[47\],88.86µm
u_aes128_optimized.u_aes_core.shift_rows_out\[65\],88.86µm
u_aes128_optimized.u_aes_core.shift_rows_out\[12\],88.38µm
u_aes128_optimized.u_aes_core.shift_rows_out\[55\],88.035µm
_1223_,88.02µm
u_aes128_optimized.u_aes_core.shift_rows_out\[30\],87.92µm
u_aes128_optimized.u_aes_core.round_key_reg\[11\],87.79µm
u_aes128_optimized.u_aes_core.round_key_reg\[67\],87.78µm
u_aes128_optimized.u_aes_core.shift_rows_out\[26\],87.64µm
_1092_,87.56µm
_1196_,87.5µm
_1631_,87.5µm
net696,87.45µm
u_aes128_optimized.u_aes_core.state\[1\],87.395µm
u_aes128_optimized.u_aes_core.round_key_reg\[28\],87.33µm
_1756_,87.21µm
_1590_,87.12µm
_1854_,87.08µm
_2390_,87.05µm
net230,87.04µm
_3031_,86.81µm
net778,86.61µm
net469,86.595µm
u_aes128_optimized.u_aes_core.shift_rows_out\[18\],86.38µm
net577,86.26µm
net206,86.2µm
u_aes128_optimized.u_aes_core.round_key_reg\[21\],85.94µm
_2111_,85.69µm
_1906_,85.68µm
net738,85.49µm
u_aes128_optimized.u_aes_core.shift_rows_out\[28\],85.32µm
_2453_,85.26µm
net723,85.18µm
net361,85.08µm
net309,85.02µm
u_aes128_optimized.u_aes_core.round_key_reg\[1\],84.84µm
net762,84.71µm
net228,84.5µm
_1118_,84.38µm
net702,84.25µm
net568,84.18µm
clknet_3_2_0_clk,83.82µm
net211,83.705µm
_2148_,83.5µm
net825,83.45µm
_1599_,83.37µm
net712,83.36µm
net465,83.255µm
net665,83.23µm
net337,83.1µm
net637,82.99µm
_2440_,82.48µm
_2512_,82.42µm
net460,82.39µm
_2446_,82.3µm
_2186_,82.27µm
u_aes128_optimized.u_aes_core.shift_rows_out\[77\],82.24µm
u_aes128_optimized.u_aes_core.round_key_reg\[22\],82.13µm
net559,81.9µm
