Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_2191,VPWR,li1,1011.3100,223.0400,1.800000
FILLER_80_2188,VPWR,li1,1009.9300,223.0400,1.800000
FILLER_80_2185,VPWR,li1,1008.5500,223.0400,1.800000
FILLER_80_2181,VPWR,li1,1006.7100,223.0400,1.800000
FILLER_80_2178,VPWR,li1,1005.3300,223.0400,1.800000
FILLER_80_2175,VPWR,li1,1003.9500,223.0400,1.800000
FILLER_80_2172,VPWR,li1,1002.5700,223.0400,1.800000
FILLER_80_2169,VPWR,li1,1001.1900,223.0400,1.800000
FILLER_80_2166,VPWR,li1,999.8100,223.0400,1.800000
FILLER_80_2163,VPWR,li1,998.4300,223.0400,1.800000
FILLER_80_2160,VPWR,li1,997.0500,223.0400,1.800000
FILLER_80_2157,VPWR,li1,995.6700,223.0400,1.800000
FILLER_80_2153,VPWR,li1,993.8300,223.0400,1.800000
FILLER_80_2150,VPWR,li1,992.4500,223.0400,1.800000
FILLER_80_2147,VPWR,li1,991.0700,223.0400,1.800000
FILLER_80_2144,VPWR,li1,989.6900,223.0400,1.800000
FILLER_80_2141,VPWR,li1,988.3100,223.0400,1.800000
FILLER_80_2138,VPWR,li1,986.9300,223.0400,1.800000
FILLER_80_2135,VPWR,li1,985.5500,223.0400,1.800000
FILLER_80_2132,VPWR,li1,984.1700,223.0400,1.800000
FILLER_80_2129,VPWR,li1,982.7900,223.0400,1.800000
FILLER_80_2127,VPWR,li1,981.4100,223.0400,1.800000
FILLER_80_2124,VPWR,li1,980.4900,223.0400,1.800000
FILLER_80_2121,VPWR,li1,979.1100,223.0400,1.800000
FILLER_80_2118,VPWR,li1,977.7300,223.0400,1.800000
FILLER_80_2110,VPWR,li1,973.5900,223.0400,1.800000
FILLER_80_2107,VPWR,li1,972.6700,223.0400,1.800000
FILLER_80_2104,VPWR,li1,971.2900,223.0400,1.800000
FILLER_80_2101,VPWR,li1,969.9100,223.0400,1.800000
FILLER_80_2097,VPWR,li1,968.0700,223.0400,1.800000
FILLER_80_2094,VPWR,li1,966.6900,223.0400,1.800000
FILLER_80_2091,VPWR,li1,965.3100,223.0400,1.800000
FILLER_80_2088,VPWR,li1,963.9300,223.0400,1.800000
FILLER_80_2085,VPWR,li1,962.5500,223.0400,1.800000
FILLER_80_2082,VPWR,li1,961.1700,223.0400,1.800000
FILLER_80_2079,VPWR,li1,959.7900,223.0400,1.800000
FILLER_80_2076,VPWR,li1,958.4100,223.0400,1.800000
FILLER_80_2073,VPWR,li1,957.0300,223.0400,1.800000
FILLER_80_2063,VPWR,li1,952.2000,223.0400,1.800000
FILLER_80_2060,VPWR,li1,951.0500,223.0400,1.800000
FILLER_80_2057,VPWR,li1,949.6700,223.0400,1.800000
FILLER_80_2054,VPWR,li1,948.2900,223.0400,1.800000
FILLER_80_2051,VPWR,li1,946.9100,223.0400,1.800000
FILLER_80_2048,VPWR,li1,945.5300,223.0400,1.800000
FILLER_80_2045,VPWR,li1,944.1500,223.0400,1.800000
FILLER_80_2041,VPWR,li1,942.3100,223.0400,1.800000
FILLER_80_2038,VPWR,li1,940.9300,223.0400,1.800000
FILLER_80_2035,VPWR,li1,939.5500,223.0400,1.800000
FILLER_80_2032,VPWR,li1,938.1700,223.0400,1.800000
FILLER_80_2029,VPWR,li1,936.7900,223.0400,1.800000
FILLER_80_2026,VPWR,li1,935.4100,223.0400,1.800000
FILLER_80_2023,VPWR,li1,934.0300,223.0400,1.800000
FILLER_80_2020,VPWR,li1,932.6500,223.0400,1.800000
FILLER_80_2017,VPWR,li1,931.2700,223.0400,1.800000
FILLER_80_2013,VPWR,li1,929.4300,223.0400,1.800000
FILLER_80_2010,VPWR,li1,928.0500,223.0400,1.800000
FILLER_80_2007,VPWR,li1,926.6700,223.0400,1.800000
FILLER_80_2004,VPWR,li1,925.2900,223.0400,1.800000
FILLER_80_2001,VPWR,li1,923.9100,223.0400,1.800000
